"TIME","GEO","SEX","MARSTA","AGE","UNIT","Value","Flag and Footnotes"
"2000","Italy","Total","Divorced persons","Total","Number",":",""
"2000","Italy","Males","Persons in registered partnership","Total","Number",":",""
"2000","Italy","Males","Widowed persons","Total","Number",":",""
"2000","Italy","Males","Divorced persons","Total","Number",":",""
"2000","Italy","Females","Persons in registered partnership","Total","Number",":",""
"2000","Italy","Females","Widowed persons","Total","Number",":",""
"2000","Italy","Females","Divorced persons","Total","Number",":",""
"2000","Latvia","Total","Persons in registered partnership","Total","Number",":",""
"2000","Latvia","Total","Widowed persons","Total","Number",":",""
"2000","Latvia","Total","Divorced persons","Total","Number",":",""
"2000","Latvia","Males","Persons in registered partnership","Total","Number",":",""
"2000","Latvia","Males","Widowed persons","Total","Number",":",""
"2000","Latvia","Males","Divorced persons","Total","Number",":",""
"2000","Latvia","Females","Persons in registered partnership","Total","Number",":",""
"2000","Latvia","Females","Widowed persons","Total","Number",":",""
"2000","Latvia","Females","Divorced persons","Total","Number",":",""
"2000","Lithuania","Total","Persons in registered partnership","Total","Number",":",""
"2000","Lithuania","Total","Widowed persons","Total","Number",":",""
"2000","Lithuania","Total","Divorced persons","Total","Number",":",""
"2000","Lithuania","Males","Persons in registered partnership","Total","Number",":",""
"2000","Lithuania","Males","Widowed persons","Total","Number",":",""
"2000","Lithuania","Males","Divorced persons","Total","Number",":",""
"2000","Lithuania","Females","Persons in registered partnership","Total","Number",":",""
"2000","Lithuania","Females","Widowed persons","Total","Number",":",""
"2000","Lithuania","Females","Divorced persons","Total","Number",":",""
"2000","Luxembourg","Total","Persons in registered partnership","Total","Number",":",""
"2000","Luxembourg","Total","Widowed persons","Total","Number",":",""
"2000","Luxembourg","Total","Divorced persons","Total","Number",":",""
"2000","Luxembourg","Males","Persons in registered partnership","Total","Number",":",""
"2000","Luxembourg","Males","Widowed persons","Total","Number",":",""
"2000","Luxembourg","Males","Divorced persons","Total","Number",":",""
"2000","Luxembourg","Females","Persons in registered partnership","Total","Number",":",""
"2000","Luxembourg","Females","Widowed persons","Total","Number",":",""
"2000","Luxembourg","Females","Divorced persons","Total","Number",":",""
"2000","Hungary","Total","Persons in registered partnership","Total","Number",":",""
"2000","Hungary","Total","Widowed persons","Total","Number",":",""
"2000","Hungary","Total","Divorced persons","Total","Number",":",""
"2000","Hungary","Males","Persons in registered partnership","Total","Number",":",""
"2000","Hungary","Males","Widowed persons","Total","Number",":",""
"2000","Hungary","Males","Divorced persons","Total","Number",":",""
"2000","Hungary","Females","Persons in registered partnership","Total","Number",":",""
"2000","Hungary","Females","Widowed persons","Total","Number",":",""
"2000","Hungary","Females","Divorced persons","Total","Number",":",""
"2000","Malta","Total","Persons in registered partnership","Total","Number",":",""
"2000","Malta","Total","Widowed persons","Total","Number",":",""
"2000","Malta","Total","Divorced persons","Total","Number",":",""
"2000","Malta","Males","Persons in registered partnership","Total","Number",":",""
"2000","Malta","Males","Widowed persons","Total","Number",":",""
"2000","Malta","Males","Divorced persons","Total","Number",":",""
"2000","Malta","Females","Persons in registered partnership","Total","Number",":",""
"2000","Malta","Females","Widowed persons","Total","Number",":",""
"2000","Malta","Females","Divorced persons","Total","Number",":",""
"2000","Netherlands","Total","Persons in registered partnership","Total","Number",":",""
"2000","Netherlands","Total","Widowed persons","Total","Number","882,071",""
"2000","Netherlands","Total","Divorced persons","Total","Number","861,978",""
"2000","Netherlands","Males","Persons in registered partnership","Total","Number",":",""
"2000","Netherlands","Males","Widowed persons","Total","Number","161,774",""
"2000","Netherlands","Males","Divorced persons","Total","Number","374,207",""
"2000","Netherlands","Females","Persons in registered partnership","Total","Number",":",""
"2000","Netherlands","Females","Widowed persons","Total","Number","720,297",""
"2000","Netherlands","Females","Divorced persons","Total","Number","487,771",""
"2000","Romania","Total","Persons in registered partnership","Total","Number",":",""
"2000","Romania","Total","Widowed persons","Total","Number","1,565,191",""
"2000","Romania","Total","Divorced persons","Total","Number","714,753",""
"2000","Romania","Males","Persons in registered partnership","Total","Number",":",""
"2000","Romania","Males","Widowed persons","Total","Number","222,057",""
"2000","Romania","Males","Divorced persons","Total","Number","262,582",""
"2000","Romania","Females","Persons in registered partnership","Total","Number",":",""
"2000","Romania","Females","Widowed persons","Total","Number","1,343,134",""
"2000","Romania","Females","Divorced persons","Total","Number","452,171",""
"2000","Slovenia","Total","Persons in registered partnership","Total","Number",":",""
"2000","Slovenia","Total","Widowed persons","Total","Number","125,692",""
"2000","Slovenia","Total","Divorced persons","Total","Number","76,343",""
"2000","Slovenia","Males","Persons in registered partnership","Total","Number",":",""
"2000","Slovenia","Males","Widowed persons","Total","Number","19,744",""
"2000","Slovenia","Males","Divorced persons","Total","Number","31,328",""
"2000","Slovenia","Females","Persons in registered partnership","Total","Number",":",""
"2000","Slovenia","Females","Widowed persons","Total","Number","105,948",""
"2000","Slovenia","Females","Divorced persons","Total","Number","45,015",""
"2000","Slovakia","Total","Persons in registered partnership","Total","Number",":",""
"2000","Slovakia","Total","Widowed persons","Total","Number",":",""
"2000","Slovakia","Total","Divorced persons","Total","Number",":",""
"2000","Slovakia","Males","Persons in registered partnership","Total","Number",":",""
"2000","Slovakia","Males","Widowed persons","Total","Number",":",""
"2000","Slovakia","Males","Divorced persons","Total","Number",":",""
"2000","Slovakia","Females","Persons in registered partnership","Total","Number",":",""
